frequency,date,region,usd_flow,tonnes_demand
Yearly,2012-12-31,Asia,353885164.5400000215,6.16431378
Yearly,2012-12-31,Other,342468362.6600000262,5.63740707
Yearly,2013-12-31,North America,-27895938207.2400016785,-618.79432116
Yearly,2013-12-31,Europe,-12967269699.2399997711,-297.27459718
Yearly,2013-12-31,Asia,-172283958.25,-6.07789265
Yearly,2013-12-31,Other,-281149049.4799999595,-7.07306918
Yearly,2014-12-31,North America,-3865841754.9499998093,-106.38682349
Yearly,2014-12-31,Europe,-1055171783.3600000143,-44.4081753
Yearly,2014-12-31,Asia,-177579183.8799999952,-3.42991442
Yearly,2014-12-31,Other,-312837290.1499999762,-8.03662863
Yearly,2015-12-31,North America,-2584006116.720000267,-83.64028437
Yearly,2015-12-31,Europe,-977413912.9699999094,-40.47719185
Yearly,2015-12-31,Asia,251337063.5,6.81746001
Yearly,2015-12-31,Other,-251699540.0399999917,-6.30648568
Yearly,2016-12-31,North America,9436064734.8700008392,227.07115398
Yearly,2016-12-31,Europe,11683677478.25,270.77621584
Yearly,2016-12-31,Asia,1637988946.6699998379,40.15550467
Yearly,2016-12-31,Other,263654279.369999975,5.07982686
Yearly,2017-12-31,North America,4185976655.3500003815,95.0694743
Yearly,2017-12-31,Europe,6985528143.6700000763,180.3081005
Yearly,2017-12-31,Asia,-158641146.8500000238,-4.04176071
Yearly,2017-12-31,Other,-28341809.2899999991,-0.6204935
Yearly,2018-12-31,North America,-44479372.1099999994,-12.28660171
Yearly,2018-12-31,Europe,4553338883.2299995422,98.86722946
Yearly,2018-12-31,Asia,-148451811.0600000024,-5.34611138
Yearly,2018-12-31,Other,-447904308.8399999738,-10.99061469
Yearly,2019-12-31,North America,10222101777.4600009918,208.6635955
Yearly,2019-12-31,Europe,8731983369.0900001526,184.38742395
Yearly,2019-12-31,Asia,91776285.2300000042,-0.07158
Yearly,2019-12-31,Other,527027242.3300000429,10.62285227
Yearly,2020-12-31,North America,31846041935,562.95345943
Yearly,2020-12-31,Europe,14398684154.8899993896,275.64135215
Yearly,2020-12-31,Asia,2304655625.7600002289,37.59073276
Yearly,2020-12-31,Other,905998772.5399999619,16.36321665
Yearly,2021-12-31,North America,-10880154883.609998703,-201.28339265
Yearly,2021-12-31,Europe,478155282.2200000286,-11.81694008
Yearly,2021-12-31,Asia,1468146902.7100000381,25.02648125
Yearly,2021-12-31,Other,16657528.4000000004,-0.54482557
Yearly,2022-12-31,North America,-2749029015.4200000763,-74.61900815
Yearly,2022-12-31,Europe,1071107554.9899998903,-13.00244273
Yearly,2022-12-31,Asia,-1196439381.8900001049,-20.86294612
Yearly,2022-12-31,Other,48553170.4699999988,0.22860317
Yearly,2023-12-31,North America,-4478063875.0699996948,-81.93656136
Yearly,2023-12-31,Europe,-11365482803.7399997711,-178.91663949
Yearly,2023-12-31,Asia,1325989353.8099999428,19.95581831
Yearly,2023-12-31,Other,-70131832.5199999958,-1.13501606
Yearly,2024-12-31,North America,2289194757.7699999809,8.03101314
Yearly,2024-12-31,Europe,-5772718814.5100002289,-98.03880528
Yearly,2024-12-31,Asia,6716682875.0799999237,82.18508593
Yearly,2024-12-31,Other,463923987.7699999809,4.70313133
Yearly,2025-12-31,North America,50660350578.8800048828,444.67369922
Yearly,2025-12-31,Europe,11921602296.5799999237,133.1100633
Yearly,2025-12-31,Asia,25429719907.8400001526,216.6499743
Yearly,2025-12-31,Other,902042350.8899999857,8.88310363
Yearly,2026-07-31,North America,-7593632197.0799999237,-60.25345901
Yearly,2026-07-31,Europe,5033760214.6299991608,23.3626762
Yearly,2026-07-31,Asia,12963107383.3299999237,74.23894698
Yearly,2026-07-31,Other,245229602.4100000262,1.23218101
Quarterly,2003-03-31,North America,92754220.299999997,8.19719947
Quarterly,2003-03-31,Europe,0,0
Quarterly,2003-03-31,Asia,0,0
Quarterly,2003-03-31,Other,330640,0.03111834
Quarterly,2003-06-30,North America,12377671.4000000004,1.11092288
Quarterly,2003-06-30,Europe,0,0
Quarterly,2003-06-30,Asia,0,0
Quarterly,2003-06-30,Other,32375104.0599999987,2.86616512
Quarterly,2003-09-30,North America,0,0
Quarterly,2003-09-30,Europe,0,0
Quarterly,2003-09-30,Asia,0,0
Quarterly,2003-09-30,Other,38057284.2300000042,3.22232087
Quarterly,2003-12-31,North America,3023592.3699999996,0.23969475
Quarterly,2003-12-31,Europe,296247123.9700000286,23.48493829
Quarterly,2003-12-31,Asia,0,0
Quarterly,2003-12-31,Other,41301513.3399999961,3.29803353
Quarterly,2004-03-31,North America,0,0
Quarterly,2004-03-31,Europe,218347096.8799999952,16.62184604
Quarterly,2004-03-31,Asia,0,0
Quarterly,2004-03-31,Other,1844285.6899999999,0.10885895
Quarterly,2004-06-30,North America,0,0
Quarterly,2004-06-30,Europe,11306859.120000001,0.89259725
Quarterly,2004-06-30,Asia,0,0
Quarterly,2004-06-30,Other,-815807.38,-0.08449635
Quarterly,2004-09-30,North America,0,0
Quarterly,2004-09-30,Europe,-23773164.1700000018,-1.84230004
Quarterly,2004-09-30,Asia,0,0
Quarterly,2004-09-30,Other,-586597.7100000001,0.03864519
Quarterly,2004-12-31,North America,1356925365.9900000095,95.05531451
Quarterly,2004-12-31,Europe,168465749.6299999952,12.06665205
Quarterly,2004-12-31,Asia,0,0
Quarterly,2004-12-31,Other,36740174.9200000018,2.60192245
Quarterly,2005-03-31,North America,1239173999.9600000381,90.90017473
Quarterly,2005-03-31,Europe,-31141450,-2.37628719
Quarterly,2005-03-31,Asia,0,0
Quarterly,2005-03-31,Other,-75688.3,-0.02633136
Quarterly,2005-06-30,North America,167120057.6599999964,11.98669418
Quarterly,2005-06-30,Europe,-50389160,-3.81493534
Quarterly,2005-06-30,Asia,0,0
Quarterly,2005-06-30,Other,4835856.9699999997,0.33335005
Quarterly,2005-09-30,North America,501640000,35.35666508
Quarterly,2005-09-30,Europe,26652770,1.52339643
Quarterly,2005-09-30,Asia,0,0
Quarterly,2005-09-30,Other,2100029.1999999997,0.1747469
Quarterly,2005-12-31,North America,996656900,62.49506438
Quarterly,2005-12-31,Europe,256469450,16.99170897
Quarterly,2005-12-31,Asia,0,0
Quarterly,2005-12-31,Other,86890241.25,5.35667176
Quarterly,2006-03-31,North America,1753406218.1399998665,97.81566867
Quarterly,2006-03-31,Europe,186581386.1999999881,10.73282069
Quarterly,2006-03-31,Asia,0,0
Quarterly,2006-03-31,Other,58779317.8200000003,3.34341726
Quarterly,2006-06-30,North America,544717000,29.75087374
Quarterly,2006-06-30,Europe,348969489.25,17.94936509
Quarterly,2006-06-30,Asia,0,0
Quarterly,2006-06-30,Other,24968457.1899999976,1.11741138
Quarterly,2006-09-30,North America,353467700,16.33985493
Quarterly,2006-09-30,Europe,12345592.8499999996,0.49356675
Quarterly,2006-09-30,Asia,0,0
Quarterly,2006-09-30,Other,11128970.6999999993,0.4524975
Quarterly,2006-12-31,North America,1381910600,68.24995092
Quarterly,2006-12-31,Europe,187464422.2999999821,10.0415085
Quarterly,2006-12-31,Asia,0,0
Quarterly,2006-12-31,Other,13357099.8200000003,0.78975974
Quarterly,2007-03-31,North America,686033637.2400000095,31.48315419
Quarterly,2007-03-31,Europe,79914243.3799999952,3.97006251
Quarterly,2007-03-31,Asia,22071957.3599999994,1.02838461
Quarterly,2007-03-31,Other,47208508.700000003,2.16913201
Quarterly,2007-06-30,North America,-372728200,-18.62957908
Quarterly,2007-06-30,Europe,223829319.6800000072,10.14657509
Quarterly,2007-06-30,Asia,11466420,1.94085405
Quarterly,2007-06-30,Other,58581655.0699999928,2.75946341
Quarterly,2007-09-30,North America,2596526600,117.90607005
Quarterly,2007-09-30,Europe,273096455.3399999738,13.60454815
Quarterly,2007-09-30,Asia,10555035.6600000001,0.43018396
Quarterly,2007-09-30,Other,137651092.0400000215,6.22588563
Quarterly,2007-12-31,North America,1427280377.6400001049,55.33641609
Quarterly,2007-12-31,Europe,347241408.0400000215,13.99807458
Quarterly,2007-12-31,Asia,25598946.8500000015,0.98527711
Quarterly,2007-12-31,Other,226333752.5699999928,8.71058492
Quarterly,2008-03-31,North America,746705600,21.32580586
Quarterly,2008-03-31,Europe,1258031136.2899999619,42.05636649
Quarterly,2008-03-31,Asia,-14193480.6899999995,-0.48327045
Quarterly,2008-03-31,Other,276697175.2300000191,9.34947071
Quarterly,2008-06-30,North America,-10206000,0.77394363
Quarterly,2008-06-30,Europe,399275483.0299999714,14.06969676
Quarterly,2008-06-30,Asia,12157835.3599999994,0.41060455
Quarterly,2008-06-30,Other,-311124429.5899999738,-10.32018287
Quarterly,2008-09-30,North America,3400023100,109.0500706
Quarterly,2008-09-30,Europe,1276308355.6399998665,41.78744849
Quarterly,2008-09-30,Asia,17032421.2099999972,0.64324227
Quarterly,2008-09-30,Other,-15124662.4700000007,-1.10640054
Quarterly,2008-12-31,North America,917825906.7699999809,35.25259098
Quarterly,2008-12-31,Europe,1570464081.4500000477,62.22954838
Quarterly,2008-12-31,Asia,33295394.2300000004,0.45546227
Quarterly,2008-12-31,Other,20553729.2200000025,1.00219366
Quarterly,2009-03-31,North America,10347970700,347.13533157
Quarterly,2009-03-31,Europe,3173410462.0599999428,106.93739482
Quarterly,2009-03-31,Asia,-16787590.2699999996,-0.54454527
Quarterly,2009-03-31,Other,32060300.3299999982,2.07482056
Quarterly,2009-06-30,North America,362305115.6999999881,6.39234696
Quarterly,2009-06-30,Europe,1110769532.7699999809,38.55973625
Quarterly,2009-06-30,Asia,28020459.9600000009,0.90465057
Quarterly,2009-06-30,Other,307766217.7700000405,8.71948785
Quarterly,2009-09-30,North America,-439722900,-15.77361338
Quarterly,2009-09-30,Europe,1513813429.9100000858,51.48621568
Quarterly,2009-09-30,Asia,23137873.1400000006,0.68921087
Quarterly,2009-09-30,Other,411590516.6000000238,13.5339935
Quarterly,2009-12-31,North America,2197143624.4699997902,58.03486235
Quarterly,2009-12-31,Europe,597563118.310000062,15.93388339
Quarterly,2009-12-31,Asia,53240332.1099999994,1.45744859
Quarterly,2009-12-31,Other,141741971.7100000083,3.76919575
Quarterly,2010-03-31,North America,-109127420,-3.0732096
Quarterly,2010-03-31,Europe,1015919344.5700000525,26.88572887
Quarterly,2010-03-31,Asia,62250418.4499999955,1.76879332
Quarterly,2010-03-31,Other,-146158506.3500000238,-3.61486185
Quarterly,2010-06-30,North America,8218341240,211.22996496
Quarterly,2010-06-30,Europe,3628606756.2699999809,89.69970244
Quarterly,2010-06-30,Asia,11165160.4199999999,0.27335751
Quarterly,2010-06-30,Other,-11369441.5,-0.81766639
Quarterly,2010-09-30,North America,691235020,14.12996705
Quarterly,2010-09-30,Europe,1058080175.3700000048,33.5077567
Quarterly,2010-09-30,Asia,225852083.3899999857,5.72947273
Quarterly,2010-09-30,Other,17546904.6900000013,0.21585602
Quarterly,2010-12-31,North America,-14800835.290000001,-2.26425772
Quarterly,2010-12-31,Europe,1147441606.6900000572,28.27307405
Quarterly,2010-12-31,Asia,165953602.2400000095,3.69321658
Quarterly,2010-12-31,Other,38861058.7599999979,1.1984573
Quarterly,2011-03-31,North America,-2466891209.4000000954,-57.85573163
Quarterly,2011-03-31,Europe,149720571.0099999905,4.35649898
Quarterly,2011-03-31,Asia,181429341.0099999905,3.88162727
Quarterly,2011-03-31,Other,-144208690.0099999905,-3.58936007
Quarterly,2011-06-30,North America,1192906081.8999998569,23.97164385
Quarterly,2011-06-30,Europe,1047056417.9000000954,26.63030291
Quarterly,2011-06-30,Asia,325742404.75,6.56358408
Quarterly,2011-06-30,Other,-2144055.1399999997,-0.03612606
Quarterly,2011-09-30,North America,2606838856,51.94439533
Quarterly,2011-09-30,Europe,3508444924.3299999237,54.3238174
Quarterly,2011-09-30,Asia,511692811.8799999952,9.29323272
Quarterly,2011-09-30,Other,108618097.3999999911,-3.36693489
Quarterly,2011-12-31,North America,3791853434.8800001144,65.79225795
Quarterly,2011-12-31,Europe,3056096988.5,59.80668636
Quarterly,2011-12-31,Asia,219802799.5800000131,4.25490353
Quarterly,2011-12-31,Other,-518222690.7599999905,-4.08964671
Quarterly,2012-03-31,North America,2777149327.2399997711,46.93059419
Quarterly,2012-03-31,Europe,1076078947.2300000191,14.73012481
Quarterly,2012-03-31,Asia,95357265.0400000066,2.09489363
Quarterly,2012-03-31,Other,-62068272.8299999982,-1.15565604
Quarterly,2012-06-30,North America,-275659898.1999999881,-7.45459544
Quarterly,2012-06-30,Europe,996103864.5500000715,6.3708586
Quarterly,2012-06-30,Asia,34928812.5,0.02237233
Quarterly,2012-06-30,Other,-13019927.0499999989,-0.39212245
Quarterly,2012-09-30,North America,3983032127.8000001907,69.84168363
Quarterly,2012-09-30,Europe,3648706080.4800000191,68.60278988
Quarterly,2012-09-30,Asia,46818756.9099999964,0.98251373
Quarterly,2012-09-30,Other,217724148.6200000048,3.92053871
Quarterly,2012-12-31,North America,2801074666.2199997902,48.66475896
Quarterly,2012-12-31,Europe,1527581586.1300001144,33.04712068
Quarterly,2012-12-31,Asia,177168117.4099999964,3.06453409
Quarterly,2012-12-31,Other,200264267.9399999976,3.26464685
Quarterly,2013-03-31,North America,-6880069563.2999992371,-135.42814529
Quarterly,2013-03-31,Europe,-2292043907.5799999237,-55.00150669
Quarterly,2013-03-31,Asia,-6399561.5499999998,0.05597372
Quarterly,2013-03-31,Other,-21895734.9299999997,-0.47130614
Quarterly,2013-06-30,North America,-13342330871.3999996185,-290.39127619
Quarterly,2013-06-30,Europe,-5920177291.6099996567,-125.88359477
Quarterly,2013-06-30,Asia,-32671849.379999999,-1.76301965
Quarterly,2013-06-30,Other,-124475730.9600000083,-3.55783149
Quarterly,2013-09-30,North America,-2609116021.4000000954,-66.46820486
Quarterly,2013-09-30,Europe,-2143826245.4199998379,-53.0094066
Quarterly,2013-09-30,Asia,-71216212.9299999923,-1.23305545
Quarterly,2013-09-30,Other,-104112457.4300000072,-2.52000404
Quarterly,2013-12-31,North America,-5063131590.3000001907,-126.50669482
Quarterly,2013-12-31,Europe,-2612701182.1699995995,-63.38008912
Quarterly,2013-12-31,Asia,-60018509.6000000015,-3.13779127
Quarterly,2013-12-31,Other,-28923432.2699999996,-0.52392751
Quarterly,2014-03-31,North America,450982472.3000000119,7.88770612
Quarterly,2014-03-31,Europe,-405070289.2900000215,-12.94347582
Quarterly,2014-03-31,Asia,-120453308.5300000012,-1.18043605
Quarterly,2014-03-31,Other,-88791879.400000006,-1.94003496
Quarterly,2014-06-30,North America,-887466446,-21.43082663
Quarterly,2014-06-30,Europe,-128258876.4200000018,-1.93767617
Quarterly,2014-06-30,Asia,-21941619.6499999985,-1.54877872
Quarterly,2014-06-30,Other,99366654.3799999952,2.11122452
Quarterly,2014-09-30,North America,-921726274.5,-25.93479339
Quarterly,2014-09-30,Europe,-208414954.8599999845,-17.87418284
Quarterly,2014-09-30,Asia,-27382262.6900000013,-0.68566998
Quarterly,2014-09-30,Other,-127619838.1599999964,-2.99251799
Quarterly,2014-12-31,North America,-2507053632.8399996758,-66.90890959
Quarterly,2014-12-31,Europe,-313663696.6800000072,-11.65284047
Quarterly,2014-12-31,Asia,-7827411.6699999999,-0.01502967
Quarterly,2014-12-31,Other,-195860971.0699999928,-5.2153002
Quarterly,2015-03-31,North America,1352426501.4700000286,29.53602241
Quarterly,2015-03-31,Europe,320434122.4399999976,1.8850966
Quarterly,2015-03-31,Asia,42579270.2800000012,0.74465433
Quarterly,2015-03-31,Other,-171559731.0600000024,-4.34807625
Quarterly,2015-06-30,North America,-902315023.5,-23.90262774
Quarterly,2015-06-30,Europe,178961871.9300000072,7.60149654
Quarterly,2015-06-30,Asia,-23032207.0500000007,-0.33197153
Quarterly,2015-06-30,Other,-136104861.7800000012,-3.62389308
Quarterly,2015-09-30,North America,-1147684034.3999998569,-34.09036032
Quarterly,2015-09-30,Europe,-1121729193.8000001907,-35.50453463
Quarterly,2015-09-30,Asia,93103453.349999994,2.46903462
Quarterly,2015-09-30,Other,76436024.6499999911,1.93005149
Quarterly,2015-12-31,North America,-1886295936.3600001335,-55.18331872
Quarterly,2015-12-31,Europe,-354787306.6000000238,-14.45925036
Quarterly,2015-12-31,Asia,138501355.9099999964,3.76154389
Quarterly,2015-12-31,Other,-20323215.4100000001,-0.26456784
Quarterly,2016-03-31,North America,8014592682.0500001907,209.23481498
Quarterly,2016-03-31,Europe,4549938176.8800001144,117.85535343
Quarterly,2016-03-31,Asia,487478471.7300000191,12.9608009
Quarterly,2016-03-31,Other,179080206.150000006,4.01346698
Quarterly,2016-06-30,North America,6487389108.3300008774,156.07105607
Quarterly,2016-06-30,Europe,3068965989.5499997139,73.33328793
Quarterly,2016-06-30,Asia,206948930.3500000238,4.99541781
Quarterly,2016-06-30,Other,110019224.3000000119,2.70063208
Quarterly,2016-09-30,North America,934966160.189999938,19.26128773
Quarterly,2016-09-30,Europe,4919538578.5699996948,114.05806841
Quarterly,2016-09-30,Asia,462978545.1800000072,10.25095333
Quarterly,2016-09-30,Other,153932031.6200000048,3.6904597
Quarterly,2016-12-31,North America,-5954452300.9399995804,-157.4960048
Quarterly,2016-12-31,Europe,-844163193.5900000334,-34.47049393
Quarterly,2016-12-31,Asia,475539910.1899999976,11.94833263
Quarterly,2016-12-31,Other,-178983019.099999994,-5.3247319
Quarterly,2017-03-31,North America,621490103.7099999189,14.73075047
Quarterly,2017-03-31,Europe,3760643124.6700000763,98.14352823
Quarterly,2017-03-31,Asia,-269350652.9399999976,-6.74702346
Quarterly,2017-03-31,Other,129121304.6400000006,3.52922107
Quarterly,2017-06-30,North America,1315677079.629999876,30.59807705
Quarterly,2017-06-30,Europe,1197494435.8299999237,34.81553503
Quarterly,2017-06-30,Asia,-105180058.7900000066,-2.6329538
Quarterly,2017-06-30,Other,-16715098.9000000004,-0.25970204
Quarterly,2017-09-30,North America,1430603763.7000000477,30.25437578
Quarterly,2017-09-30,Europe,509222737.9600000381,12.3898856
Quarterly,2017-09-30,Asia,-383943801.8299999833,-9.25010897
Quarterly,2017-09-30,Other,-34876010.1900000051,-1.12949265
Quarterly,2017-12-31,North America,836878390.5,19.486271
Quarterly,2017-12-31,Europe,1522491675.5,34.95915164
Quarterly,2017-12-31,Asia,611644102.5,14.58832552
Quarterly,2017-12-31,Other,-105945092.2700000107,-2.76051988
Quarterly,2018-03-31,North America,1653896662.1300001144,36.70204457
Quarterly,2018-03-31,Europe,-90655516.2100000083,0.48431937
Quarterly,2018-03-31,Asia,-274311784.9899999499,-6.25973644
Quarterly,2018-03-31,Other,-79108667.4699999988,-1.71646461
Quarterly,2018-06-30,North America,-1191734553.7799999714,-30.53365135
Quarterly,2018-06-30,Europe,2449581268.6300001144,48.84489187
Quarterly,2018-06-30,Asia,722277496.5099999905,16.94074123
Quarterly,2018-06-30,Other,-232088989.2300000191,-5.30286605
Quarterly,2018-09-30,North America,-2898728366.0999999046,-75.54985182
Quarterly,2018-09-30,Europe,-508539878.1100000143,-14.01823726
Quarterly,2018-09-30,Asia,-453302355,-11.4964912
Quarterly,2018-09-30,Other,-110830932.7399999946,-3.24986183
Quarterly,2018-12-31,North America,2391799022.0999999046,57.09485689
Quarterly,2018-12-31,Europe,2697724586.5199999809,63.55625548
Quarterly,2018-12-31,Asia,-171486923.2199999988,-4.53062497
Quarterly,2018-12-31,Other,-26485639.2800000012,-0.7214222
Quarterly,2019-03-31,North America,1134589858.7999999523,26.71540684
Quarterly,2019-03-31,Europe,1043636497.060000062,21.08823353
Quarterly,2019-03-31,Asia,-200706585.6599999964,-4.78534603
Quarterly,2019-03-31,Other,-1676667.6700000002,-0.08164917
Quarterly,2019-06-30,North America,381590397.6800000072,4.28580241
Quarterly,2019-06-30,Europe,3225261294.3499999046,74.3582956
Quarterly,2019-06-30,Asia,-179058006.0900000036,-4.49234467
Quarterly,2019-06-30,Other,-16635922.8100000005,-0.49491954
Quarterly,2019-09-30,North America,8879559842.9799995422,182.60445485
Quarterly,2019-09-30,Europe,3103582750.009999752,58.05173885
Quarterly,2019-09-30,Asia,686362623.8899999857,13.99317235
Quarterly,2019-09-30,Other,387016434.4099999666,7.72423728
Quarterly,2019-12-31,North America,-169991231.8799999952,-4.9420686
Quarterly,2019-12-31,Europe,1361991058.9800000191,30.88915597
Quarterly,2019-12-31,Asia,-209692045.9400000274,-4.78706165
Quarterly,2019-12-31,Other,163515649.9300000072,3.4751837
Quarterly,2020-03-31,North America,6901605198.6399993896,128.48772656
Quarterly,2020-03-31,Europe,8237667204.7400007248,152.61138772
Quarterly,2020-03-31,Asia,729842507.1499999762,13.86715854
Quarterly,2020-03-31,Other,327426167.8699999452,5.9404998
Quarterly,2020-06-30,North America,18153198947.7899971008,329.57351893
Quarterly,2020-06-30,Europe,4584935710.720000267,86.38777467
Quarterly,2020-06-30,Asia,519044884.7999999523,8.47930992
Quarterly,2020-06-30,Other,457206950.2599999905,8.66849035
Quarterly,2020-09-30,North America,11771015363.9200000763,191.04730874
Quarterly,2020-09-30,Europe,3680272561.0399999619,66.75813573
Quarterly,2020-09-30,Asia,1273095143.8100001812,19.98637824
Quarterly,2020-09-30,Other,363312210.6999999881,6.10007327
Quarterly,2020-12-31,North America,-4976127291.4099998474,-86.1550948
Quarterly,2020-12-31,Europe,-2103487634.4700000286,-30.11594597
Quarterly,2020-12-31,Asia,-218021081.1899999976,-4.74211394
Quarterly,2020-12-31,Other,-249796777.9500000179,-4.34584677
Quarterly,2021-03-31,North America,-8142489666.3000001907,-145.34898921
Quarterly,2021-03-31,Europe,-2204067486.6700000763,-50.06575089
Quarterly,2021-03-31,Asia,1045965246.3400000334,17.77751195
Quarterly,2021-03-31,Other,92384780.1899999976,1.50182796
Quarterly,2021-06-30,North America,1138602956.1099998951,16.06248605
Quarterly,2021-06-30,Europe,1630578435.9700000286,28.33172626
Quarterly,2021-06-30,Asia,-91626112.1499999911,-1.77609415
Quarterly,2021-06-30,Other,-89072485.9599999934,-1.88130105
Quarterly,2021-09-30,North America,-2552070491.7600002289,-45.63721633
Quarterly,2021-09-30,Europe,990782631.8300000429,11.78747268
Quarterly,2021-09-30,Asia,233780984.5799999833,4.14503689
Quarterly,2021-09-30,Other,13328066.5299999993,-0.10357153
Quarterly,2021-12-31,North America,-1323620315.1600000858,-26.35967316
Quarterly,2021-12-31,Europe,61877821.5900000036,-1.87038813
Quarterly,2021-12-31,Asia,281096529.7599999905,4.88002656
Quarterly,2021-12-31,Other,96066.25,-0.06178095
Quarterly,2022-03-31,North America,10577820798.5100002289,172.17652472
Quarterly,2022-03-31,Europe,7249861128.1199998856,113.26062312
Quarterly,2022-03-31,Asia,-869193812.3200000525,-14.76412372
Quarterly,2022-03-31,Other,115811487.3400000036,1.90116871
Quarterly,2022-06-30,North America,-2421108352.0699996948,-44.24744107
Quarterly,2022-06-30,Europe,562036960.5,-2.87207795
Quarterly,2022-06-30,Asia,-46319181.7800000012,-1.11754811
Quarterly,2022-06-30,Other,15692064.9199999999,0.22616801
Quarterly,2022-09-30,North America,-8199839091.4800004959,-150.33445981
Quarterly,2022-09-30,Europe,-4298107547.1900005341,-92.69728001
Quarterly,2022-09-30,Asia,21711585.1100000031,0.53688114
Quarterly,2022-09-30,Other,-23752628.7199999988,-1.22765699
Quarterly,2022-12-31,North America,-2674456822.8299999237,-52.21363199
Quarterly,2022-12-31,Europe,-2448410059.3899998665,-30.69370789
Quarterly,2022-12-31,Asia,-296861481.2299999595,-5.51815543
Quarterly,2022-12-31,Other,-56944701.9799999967,-0.67107656
Quarterly,2023-03-31,North America,828969607.8500000238,10.33639419
Quarterly,2023-03-31,Europe,-2377666276.2199997902,-40.00304734
Quarterly,2023-03-31,Asia,-36659013.3400000036,-0.63644478
Quarterly,2023-03-31,Other,124449271.200000003,1.8466479
Quarterly,2023-06-30,North America,724285770.7199999094,9.46603353
Quarterly,2023-06-30,Europe,-1822889688.6699998379,-28.68958881
Quarterly,2023-06-30,Asia,107126390.200000003,1.55790309
Quarterly,2023-06-30,Other,-195170841.380000025,-3.14830952
Quarterly,2023-09-30,North America,-5806473486.4300003052,-95.80648694
Quarterly,2023-09-30,Europe,-2904434640.6700000763,-53.93181812
Quarterly,2023-09-30,Asia,884430180.7199999094,13.51646332
Quarterly,2023-09-30,Other,-69511075.2600000054,-1.52185683
Quarterly,2023-12-31,North America,-224042584.2699999809,-5.93250214
Quarterly,2023-12-31,Europe,-4267154240.8499999046,-56.29218522
Quarterly,2023-12-31,Asia,375320880.6200000048,5.51789668
Quarterly,2023-12-31,Other,70421887,1.68850239
Quarterly,2024-03-31,North America,-4310000928.8299999237,-68.18475262
Quarterly,2024-03-31,Europe,-2870022400.5,-54.25771001
Quarterly,2024-03-31,Asia,723636367.6599999666,10.29035459
Quarterly,2024-03-31,Other,7391659,-0.43933526
Quarterly,2024-06-30,North America,-586976433.75,-9.39627692
Quarterly,2024-06-30,Europe,-2017024089.3499999046,-28.74436473
Quarterly,2024-06-30,Asia,2501565313.9600000381,32.11769006
Quarterly,2024-06-30,Other,-45384517.9400000051,-0.61528499
Quarterly,2024-09-30,North America,4800489562.4899997711,59.07643514
Quarterly,2024-09-30,Europe,1287785838.0499999523,22.89693766
Quarterly,2024-09-30,Asia,664317340.1799999475,7.79884847
Quarterly,2024-09-30,Other,463768562.5600000024,6.03987854
Quarterly,2024-12-31,North America,2430889456.8199996948,26.53560754
Quarterly,2024-12-31,Europe,-2156990878.6699995995,-37.9336682
Quarterly,2024-12-31,Asia,2846321891.6199998856,31.97819281
Quarterly,2024-12-31,Other,42912286.6000000015,-0.28212696
